accuracy,f1,Precision,Recall,roc_auc,model,precision,recall
0.7439820374915148,0.3534221284452064,0.2500466504944952,0.6025179856115108,0.7524497320380831,baseRandomForest,,
0.6744556420030285,0.3307390907627073,0.2172318973418881,0.6926708633093526,0.7485520769890851,baseLogReg,,
0.656858649678868,0.2890679937253205,0.1903269463637011,0.6007194244604317,0.6828050681980556,baseDecisionTree,,
0.8866899900788471,0.1520125048847205,0.5805970149253732,0.087455035971223,0.7468090767092123,XgbBalanced,,
0.8870293979426662,0.1446926270013837,0.5990180032733224,0.0822841726618705,0.7541103024710851,LgbBalanced,,
0.8866377734844133,0.0923913043478261,,,0.7557498047317448,MLP,0.6577380952380952,0.0496852517985611
0.8851234922458358,0.0752416981925178,0.5774193548387097,0.0402428057553956,0.7485250818368169,LogRegBalanced,,
0.881285572554958,0.0339919269173571,0.3088803088803089,0.0179856115107913,0.6748062252773547,DecisionTreeBalanced,,
0.8843924599237638,0.0216526734423331,0.6282051282051282,0.0110161870503597,0.7435297036193931,RandomForestBalanced,,
0.7767479504986685,0.3543003851091142,0.2667424673109721,0.5274280575539568,0.7450202610405325,Xgb,,
0.7435381964388282,0.3531968130638045,0.2497439240152714,0.6029676258992805,0.7509844962689978,Lgb,,
0.7521017179259568,0.3568380410485674,,,0.7543502671278233,MLP,0.2553562772661173,0.5921762589928058
0.8144744399770247,0.3650822015725518,0.3029359430604982,0.4593075539568345,0.7499127986852557,RandomForest,,
0.8141350321132056,0.3637501117168648,0.3018839934727785,0.4575089928057554,0.7515260329693356,BeterRandomForest,,
0.6741162341392094,0.3305084745762712,0.217032967032967,0.6926708633093526,0.7485400437256386,LogReg,,
0.6848206359981202,0.3187358916478555,0.2127787823990355,0.6348920863309353,0.7256722974990363,DecisionTree,,
0.7439820374915148,0.3534221284452064,0.2500466504944952,0.6025179856115108,0.7524497320380831,baseRandomForest,,
0.6744556420030285,0.3307390907627073,0.2172318973418881,0.6926708633093526,0.7485520769890851,baseLogReg,,
0.656858649678868,0.2890679937253205,0.1903269463637011,0.6007194244604317,0.6828050681980556,baseDecisionTree,,
0.8866899900788471,0.1520125048847205,0.5805970149253732,0.087455035971223,0.7468090767092123,XgbBalanced,,
0.8870293979426662,0.1446926270013837,0.5990180032733224,0.0822841726618705,0.7541103024710851,LgbBalanced,,
0.8866377734844133,0.0923913043478261,,,0.7557498047317448,MLP,0.6577380952380952,0.0496852517985611
0.8851234922458358,0.0752416981925178,0.5774193548387097,0.0402428057553956,0.7485250818368169,LogRegBalanced,,
0.881285572554958,0.0339919269173571,0.3088803088803089,0.0179856115107913,0.6748062252773547,DecisionTreeBalanced,,
0.8843924599237638,0.0216526734423331,0.6282051282051282,0.0110161870503597,0.7435297036193931,RandomForestBalanced,,
0.7767479504986685,0.3543003851091142,0.2667424673109721,0.5274280575539568,0.7450202610405325,Xgb,,
0.7435381964388282,0.3531968130638045,0.2497439240152714,0.6029676258992805,0.7509844962689978,Lgb,,
0.7521017179259568,0.3568380410485674,,,0.7543502671278233,MLP,0.2553562772661173,0.5921762589928058
0.8144744399770247,0.3650822015725518,0.3029359430604982,0.4593075539568345,0.7499127986852557,RandomForest,,
0.8141350321132056,0.3637501117168648,0.3018839934727785,0.4575089928057554,0.7515260329693356,BeterRandomForest,,
0.6741162341392094,0.3305084745762712,0.217032967032967,0.6926708633093526,0.7485400437256386,LogReg,,
0.6848206359981202,0.3187358916478555,0.2127787823990355,0.6348920863309353,0.7256722974990363,DecisionTree,,
