accuracy,f1,Precision,Recall,roc_auc,model,precision,recall
0.8866899900788471,0.15201250488472057,0.5805970149253732,0.08745503597122302,0.7468090767092123,XgbBalanced,,
0.8870293979426662,0.1446926270013837,0.5990180032733224,0.0822841726618705,0.7541103024710851,LgbBalanced,,
0.8866377734844133,0.0923913043478261,,,0.7557498047317448,MLP,0.6577380952380952,0.049685251798561154
0.8851234922458358,0.07524169819251786,0.5774193548387097,0.04024280575539568,0.7485250818368169,LogRegBalanced,,
0.881285572554958,0.033991926917357126,0.3088803088803089,0.017985611510791366,0.6748062252773547,DecisionTreeBalanced,,
0.8843924599237638,0.021652673442333188,0.6282051282051282,0.011016187050359711,0.7435297036193931,RandomForestBalanced,,
